invest_opinion,price_goal,reporter,titles,contents,dates
BUY,"90,000",DB금융투자 김평모,기아 A000270 -수요 부진&비용 상승 구간 진입,"4Q22, 컨센서스 하회 전망
- 23년 글로벌 자동차 수요 부진",2023/01/02
매수,"100,000",한국투자증권 김진우,기아 A000270 -4Q22 Preview: 이보다 더 좋을 수,"4분기 영업이익 컨센서스 10% 상회 전망
- 실적 고점보다 저점이 궁금한 시기",2023/01/02
BUY,"85,000",교보증권 남주신,기아 A000270 -어려운 환경 속 빛날 EV 시리즈,"전기차 SUV 시리즈에 주목
- EV9으로 커진 밸류에이션 매력",2023/01/02
BUY,"47,000",유안타증권 이현수,현대제철 A004020 -Supply-demand issues come at once,"4Q22 OP estimated at W58bn (-92% YoY, -84% QoQ)
- In 1H23, production to normalize, but concerns remain over selling prices, cost",2023/01/02
BUY,"47,000",유안타증권 이현수,현대제철 A004020 -한번에 찾아 온 수급 이슈,"4Q22(E): 영업이익 580억원 추정 (yoy -92%, qoq -84%)
- 1H23, 정상궤도 올라오는 생산 그러나 판가 및 원가에 대한 우려 존재",2023/01/02
BUY,"220,000",DB금융투자 김평모,현대차 A005380 -멀지 않은 바닥,"4Q22, 컨센서스 하회 예상
- 23년 수요 부진, 조달 금리 상승",2023/01/02
매수,"230,000",한국투자증권 김진우,현대차 A005380 -4Q22 Preview: 파티의 정점,"4분기 영업이익 컨센서스 11% 상회 전망
- 오래도록 기억에 남을 2022년",2023/01/02
BUY,"220,000",교보증권 남주신,현대차 A005380 -불확실성 시대를 이겨낼 xEV 경쟁력,"2023년부터 판매량으로 입증될 전기차 경쟁력
- 현재의 주가는 불확실성을 대부분 반영한 상태",2023/01/02
BUY,"370,000",유안타증권 이현수,POSCO홀딩스 A005490 -One-off issue ending,"4Q22 OP estimated at W651bn (-73% YoY, -29% QoQ)
- Production at Pohang steel plant to normalize from 1Q23",2023/01/02
BUY,"370,000",유안타증권 이현수,POSCO홀딩스 A005490 -마무리 되어가는 일회성 이슈,"4Q22(E): 영업이익 6,510억원 추정 (yoy -73%, qoq -29%)
- 1Q23, 포항제철소 생산 정상화 예상",2023/01/02
BUY,"36,000",DB금융투자 김평모,에스엘 A005850 -불황에도 성장하는 램프,"4Q22, 컨센서스 부합 전망
- 23년 신차 수요 부진에도 성장",2023/01/02
매수,"910,000",SK증권 윤혁진,삼성SDI A006400 -2023년에 가장 기대되는 K배터리 기업,"4Q22 매출액 3.1%QoQ 증가한 5.5조원, 영업이익 11.7% 감소한 4,997억원 추정
- 증설투자 자금 여력이 가장 우수한 기업 = 완성차와 추가적인 JV 기대",2023/01/02
BUY,"115,000",대신증권 유정현,호텔신라 A008770 -올해 해외 여행 계획 있으시죠?,"투자의견 BUY 유지하며, 목표주가 115,000원으로 상향
- 4Q22 Preview: 면세 부진, 호텔 큰 폭 개선",2023/01/02
BUY,"95,000",삼성증권 박은경,호텔신라 A008770 -Bidding on IIA concessions beneficial to DFS operators,"Bidding for Incheon International Airport concession begins
- DFS operators’ increased negotiation power confirmed",2023/01/02
BUY,"95,000",삼성증권 박은경,"호텔신라 A008770 -인천공항 입찰, 면세사업자에 유리해진 조건","인천공항 면세사업자 선정 레이스 시작
- 면세사업자의 협상력 개선 확인",2023/01/02
매수,"175,000",BNK투자증권 이민희,삼성전기 A009150 -중국 리오프닝 수혜 기대,"투자의견 ‘매수’ 및 목표주가 175,000원으로 커버리지 개시
- 실적 모멘텀 Swing Factor는 MLCC, 향후 시황 개선 기대",2023/01/02
BUY,"86,000",교보증권 안유동,HD한국조선해양 A009540 -NAV 할인율 최저점 + 1.3조원 순현금,"한국조선해양, 목표주가 86,000원으로 커버리지 개시
- 2023년 기점으로 한 자회사 실적 턴어라운드+1.3조원 순현금 보유",2023/01/02
BUY,"7,000",교보증권 안유동,삼성중공업 A010140 -FLNG 수요 증가에 가장 수혜 받을 조선주,"삼성중공업, 목표주가 7,000원으로 커버리지 개시
- 해상 천연가스 생산 확대 기조에 맞물린 FLNG 수요확대",2023/01/02
BUY,"104,000",교보증권 안유동,"현대미포조선 A010620 -LR2, MR탱커 호황+짧은 리드타임→실적턴어라운드 선봉장","현대미포조선, 목표주가 104,000원으로 커버리지 개시
- 러시아산 석유제품 금수조치→PC선(MR, LR2탱커 등) 수요증가 기대",2023/01/02
BUY,"115,000",삼성증권 조현렬,S-Oil A010950 -Oil-4Q preview: Impact of oil price declines inevitable,4Q22 preview?misses consensus sharply,2023/01/02
BUY,"115,000",NH투자증권 최영광,S-Oil A010950 -Oil-4분기 실적 아쉬우나 견조한 업황은 유효,"2023년에도 타이트한 공급 상황으로 견조한 업황 지속될 것
- 4Q22 Preview: 재고평가손실, 환율, OSP 영향으로 영업적자 전망",2023/01/02
BUY,"115,000",삼성증권 조현렬,S-Oil A010950 -Oil-4Q22 preview - 불가피한 유가 하락 영향,"4Q22 preview, 컨센서스 크게 하회 전망
- View, 국제유가 조정은 2023년 Upside로 작용 가능",2023/01/02
BUY,"70,000",교보증권 남주신,현대위아 A011210 -꾸준한 핵심 부품 성장 기대,"러시아 없이도 핵심 부품 성장 기대
- 가동률 개선과 기계 수주 기대",2023/01/02
BUY,"300,000",DB금융투자 김평모,현대모비스 A012330 -어려운 시기를 버티는 힘,"4Q22, 낮아짐 비용 부담
- 2023년 실적 개선 지속 전망",2023/01/02
BUY,"270,000",교보증권 남주신,현대모비스 A012330 -지속적인 외형 성장과 전동화 수익성 기대,"전동화 부문 고성장에 주목
- 자동차부품주 Top-pick, 밸류에이션 저평가 상태",2023/01/02
매수,"25,000",SK증권 나민식,한국전력 A015760 -아쉬운 전기요금 인상,"어느 누구도 만족 못하는 전기요금 인상
- 2023년 추정치는 변함없음",2023/01/02
,,NH투자증권 이민재,한국전력 A015760 -2023년 1분기 전기요금 인상,"2023년 1분기 전기요금은 kWh당 13.1원 인상 결정됐는데, 세부적으로 전력량요금(기준연료비)과 기후환경요금이 kWh당 각각 11.4원, 1.7원이 오를 예정
- 2023년 1분기 전기요금 인상 분 전부가 실제로 오르는 것 자체가 경제 상황과 물가 등을 감안하면 어려운 일",2023/01/02
BUY,"28,000",메리츠증권 문경원,한국전력 A015760 -중요한 건 꺾이지 않는 인상,"요금 인상, 단발성 이벤트 아닙니다.
- 판가 상승, 원가 개선 동시에 이뤄지며 하반기 흑자 전환 가시권",2023/01/02
중립,,신한투자증권 박광래,한국전력 A015760 -다소 아쉽지만 그래도 좋은 `23년의 시작,"2023년 1분기 전기요금 +13.1원/kWh
- 2Q 이후 매 분기 11.4원씩 인상 시, 연간으로는 40.8원 인상 효과",2023/01/02
,,KB증권 정혜정,한국전력 A015760 -2023년 전기요금 인상의 시작,"산업부, 1Q23 전기요금 인상안 발표
- 연간 전기요금 인상폭은 아직 확정되지 않은 상황",2023/01/02
,,KB증권 정혜정,한국전력 A015760 -Hike in Electricity Rate Has Begun,"Ministry of Trade, Industry and Energy announces 1Q23 electricity rate hike
- Extent of electricity rate hike for full year yet to be confirmed",2023/01/02
BUY,"80,000",하나증권 김홍식,"SK텔레콤 A017670 -연초보다는 하반기 매수, 상반기 주도주는 어려울 듯","매수/목표가 8만원 유지, 장기 배당 투자로 국한해야
- 2023년 상반기에도 섹터내 주도주 역할은 어려울 전망",2023/01/02
BUY,"37,000",한화투자증권 송유림,삼성엔지니어링 A028050 -역대 최대 수주를 향해,"4Q22 Preview: 시장 기대치 부합 예상
- 수주 파이프라인 확대 전망",2023/01/02
BUY,"31,000",삼성증권 최민하,제일기획 A030000 -To outperform the market,"4Q preview
- Growth to remain steady despite tough market conditions",2023/01/02
BUY,"31,000",삼성증권 최민하,제일기획 A030000 -시장 대비 선방할 수 있다,"4분기 영업이익은 전년 동기 대비 23.6% 늘어날 전망이나 컨센서스 11.6% 하회 예상
- 어려운 시장 환경 속에서도 대행 영역 확대로 성장에 박차를 가할 전망",2023/01/02
