Date,Open,High,Low,Close,Volume,Change
2023-01-02,40900,43200,40850,42350,252883,0.05086848635235741
2023-01-03,42150,43000,41050,42500,238529,0.0035419126328217754
2023-01-04,41550,42500,41400,41650,180243,-0.020000000000000018
2023-01-05,41850,42300,41200,41550,197337,-0.0024009603841537164
2023-01-06,41050,42900,40900,42650,198441,0.026474127557160054
2023-01-09,43650,44200,43300,43650,337866,0.023446658851113744
2023-01-10,43650,43650,42850,43500,187761,-0.0034364261168384758
2023-01-11,43600,43850,42950,43450,165005,-0.0011494252873562871
2023-01-12,43850,45000,43600,43850,249825,0.009205983889528202
2023-01-13,44400,44500,43500,43500,198964,-0.007981755986317007
2023-01-16,43500,44400,42850,43700,189890,0.0045977011494253706
2023-01-17,43800,44300,43150,43750,148636,0.0011441647597254523
2023-01-18,44000,44100,43000,43550,182815,-0.00457142857142856
2023-01-19,43050,43050,42500,42950,193505,-0.013777267508610747
2023-01-20,42650,43150,42550,43100,108484,0.0034924330616996624
2023-01-25,43400,44250,43400,43850,165124,0.01740139211136893
2023-01-26,44050,45550,43900,45500,305604,0.03762827822120873
2023-01-27,45750,46250,44650,45150,298482,-0.007692307692307665
2023-01-30,45300,45650,44150,44150,185418,-0.022148394241417457
2023-01-31,44050,44800,43700,44500,216291,0.007927519818799578
2023-02-01,44650,46000,44350,45350,353255,0.019101123595505642
2023-02-02,45650,45800,44650,44700,235383,-0.01433296582138921
2023-02-03,44650,45750,44400,45350,195897,0.014541387024608499
2023-02-06,45150,45850,44850,45100,161529,-0.005512679162072764
2023-02-07,45500,45900,45100,45200,172980,0.0022172949002217113
2023-02-08,45300,46950,45000,46700,350842,0.0331858407079646
2023-02-09,46600,47200,46050,46400,360982,-0.0064239828693790635
2023-02-10,45700,47950,45300,47600,637145,0.02586206896551735
2023-02-13,47600,47650,46050,46200,313898,-0.02941176470588236
2023-02-14,46400,47800,46050,46950,323653,0.016233766233766156
2023-02-15,47100,47850,46100,46300,182631,-0.013844515441959526
2023-02-16,46700,48450,46600,47750,358245,0.03131749460043198
2023-02-17,47000,48100,47000,47400,164427,-0.007329842931937169
2023-02-20,47550,47650,46750,47350,123929,-0.0010548523206751481
2023-02-21,47600,47700,46550,47200,185605,-0.0031678986272439813
2023-02-22,46500,47100,45800,45850,218464,-0.028601694915254217
2023-02-23,45850,47500,45650,46600,242240,0.016357688113413316
2023-02-24,46700,47500,46450,46650,143189,0.0010729613733906351
2023-02-27,46050,46450,44850,46300,163711,-0.007502679528403
2023-02-28,46400,48250,46400,47450,325159,0.024838012958963374
2023-03-02,47850,49800,47650,49100,545527,0.03477344573234986
2023-03-03,49500,51600,49300,51400,873157,0.046843177189409335
